size,bedroom,price
2.104,3,399900
1.600,3,329900
2.400,3,369000
1.416,2,232000
3.000,4,539900
1.985,4,299900
1.534,3,314900
1.427,3,198999
1.380,3,212000
1.494,3,242500
1.940,4,239999
2.000,3,347000
1.890,3,329999
4.478,5,699900
1.268,3,259900
2.300,4,449900
1.320,2,299900
1.236,3,199900
2.609,4,499998
3.031,4,599000
1.767,3,252900
1.888,2,255000
1.604,3,242900
1.962,4,259900
3.890,3,573900
1.100,3,249900
1.458,3,464500
2.526,3,469000
2.200,3,475000
2.637,3,299900
1.839,2,349900
1.000,1,169900
2.040,4,314900
3.137,3,579900
1.811,4,285900
1.437,3,249900
1.239,3,229900
2.132,4,345000
4.215,4,549000
2.162,4,287000
1.664,2,368500
2.238,3,329900
2.567,4,314000
1.200,3,299000
0.852,2,179900
1.852,4,299900
1.203,3,239500