survived,pclass,age,sibsp,parch,fare,alone,sex_female,sex_male,embark_town_Cherbourg,embark_town_Queenstown,embark_town_Southampton,who_child,who_man,who_woman,"fare_group_(-0.001, 7.854]","fare_group_(7.854, 10.5]","fare_group_(10.5, 21.679]","fare_group_(21.679, 39.688]","fare_group_(39.688, 512.329]"
0,3,22.0,1,0,7.25,False,0,1,0,0,1,0,1,0,1,0,0,0,0
1,1,38.0,1,0,71.2833,False,1,0,1,0,0,0,0,1,0,0,0,0,1
1,3,26.0,0,0,7.925,True,1,0,0,0,1,0,0,1,0,1,0,0,0
1,1,35.0,1,0,53.1,False,1,0,0,0,1,0,0,1,0,0,0,0,1
0,3,35.0,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,29.69911764705882,0,0,8.4583,True,0,1,0,1,0,0,1,0,0,1,0,0,0
0,1,54.0,0,0,51.8625,True,0,1,0,0,1,0,1,0,0,0,0,0,1
0,3,2.0,3,1,21.075,False,0,1,0,0,1,1,0,0,0,0,1,0,0
1,3,27.0,0,2,11.1333,False,1,0,0,0,1,0,0,1,0,0,1,0,0
1,2,14.0,1,0,30.0708,False,1,0,1,0,0,1,0,0,0,0,0,1,0
1,3,4.0,1,1,16.7,False,1,0,0,0,1,1,0,0,0,0,1,0,0
1,1,58.0,0,0,26.55,True,1,0,0,0,1,0,0,1,0,0,0,1,0
0,3,20.0,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,39.0,1,5,31.275,False,0,1,0,0,1,0,1,0,0,0,0,1,0
0,3,14.0,0,0,7.8542,True,1,0,0,0,1,1,0,0,1,0,0,0,0
1,2,55.0,0,0,16.0,True,1,0,0,0,1,0,0,1,0,0,1,0,0
0,3,2.0,4,1,29.125,False,0,1,0,1,0,1,0,0,0,0,0,1,0
1,2,29.69911764705882,0,0,13.0,True,0,1,0,0,1,0,1,0,0,0,1,0,0
0,3,31.0,1,0,18.0,False,1,0,0,0,1,0,0,1,0,0,1,0,0
1,3,29.69911764705882,0,0,7.225,True,1,0,1,0,0,0,0,1,1,0,0,0,0
0,2,35.0,0,0,26.0,True,0,1,0,0,1,0,1,0,0,0,0,1,0
1,2,34.0,0,0,13.0,True,0,1,0,0,1,0,1,0,0,0,1,0,0
1,3,15.0,0,0,8.0292,True,1,0,0,1,0,1,0,0,0,1,0,0,0
1,1,28.0,0,0,35.5,True,0,1,0,0,1,0,1,0,0,0,0,1,0
0,3,8.0,3,1,21.075,False,1,0,0,0,1,1,0,0,0,0,1,0,0
1,3,38.0,1,5,31.3875,False,1,0,0,0,1,0,0,1,0,0,0,1,0
0,3,29.69911764705882,0,0,7.225,True,0,1,1,0,0,0,1,0,1,0,0,0,0
0,1,19.0,3,2,263.0,False,0,1,0,0,1,0,1,0,0,0,0,0,1
1,3,29.69911764705882,0,0,7.8792,True,1,0,0,1,0,0,0,1,0,1,0,0,0
0,3,29.69911764705882,0,0,7.8958,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,40.0,0,0,27.7208,True,0,1,1,0,0,0,1,0,0,0,0,1,0
1,1,29.69911764705882,1,0,146.5208,False,1,0,1,0,0,0,0,1,0,0,0,0,1
1,3,29.69911764705882,0,0,7.75,True,1,0,0,1,0,0,0,1,1,0,0,0,0
0,2,66.0,0,0,10.5,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,28.0,1,0,82.1708,False,0,1,1,0,0,0,1,0,0,0,0,0,1
0,1,42.0,1,0,52.0,False,0,1,0,0,1,0,1,0,0,0,0,0,1
1,3,29.69911764705882,0,0,7.2292,True,0,1,1,0,0,0,1,0,1,0,0,0,0
0,3,21.0,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,18.0,2,0,18.0,False,1,0,0,0,1,0,0,1,0,0,1,0,0
1,3,14.0,1,0,11.2417,False,1,0,1,0,0,1,0,0,0,0,1,0,0
0,3,40.0,1,0,9.475,False,1,0,0,0,1,0,0,1,0,1,0,0,0
0,2,27.0,1,0,21.0,False,1,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29.69911764705882,0,0,7.8958,True,0,1,1,0,0,0,1,0,0,1,0,0,0
1,2,3.0,1,2,41.5792,False,1,0,1,0,0,1,0,0,0,0,0,0,1
1,3,19.0,0,0,7.8792,True,1,0,0,1,0,0,0,1,0,1,0,0,0
0,3,29.69911764705882,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,29.69911764705882,1,0,15.5,False,0,1,0,1,0,0,1,0,0,0,1,0,0
1,3,29.69911764705882,0,0,7.75,True,1,0,0,1,0,0,0,1,1,0,0,0,0
0,3,29.69911764705882,2,0,21.6792,False,0,1,1,0,0,0,1,0,0,0,1,0,0
0,3,18.0,1,0,17.8,False,1,0,0,0,1,0,0,1,0,0,1,0,0
0,3,7.0,4,1,39.6875,False,0,1,0,0,1,1,0,0,0,0,0,1,0
0,3,21.0,0,0,7.8,True,0,1,0,0,1,0,1,0,1,0,0,0,0
1,1,49.0,1,0,76.7292,False,1,0,1,0,0,0,0,1,0,0,0,0,1
1,2,29.0,1,0,26.0,False,1,0,0,0,1,0,0,1,0,0,0,1,0
0,1,65.0,0,1,61.9792,False,0,1,1,0,0,0,1,0,0,0,0,0,1
1,1,29.69911764705882,0,0,35.5,True,0,1,0,0,1,0,1,0,0,0,0,1,0
1,2,21.0,0,0,10.5,True,1,0,0,0,1,0,0,1,0,1,0,0,0
0,3,28.5,0,0,7.2292,True,0,1,1,0,0,0,1,0,1,0,0,0,0
1,2,5.0,1,2,27.75,False,1,0,0,0,1,1,0,0,0,0,0,1,0
0,3,11.0,5,2,46.9,False,0,1,0,0,1,1,0,0,0,0,0,0,1
0,3,22.0,0,0,7.2292,True,0,1,1,0,0,0,1,0,1,0,0,0,0
0,1,45.0,1,0,83.475,False,0,1,0,0,1,0,1,0,0,0,0,0,1
0,3,4.0,3,2,27.9,False,0,1,0,0,1,1,0,0,0,0,0,1,0
0,1,29.69911764705882,0,0,27.7208,True,0,1,1,0,0,0,1,0,0,0,0,1,0
1,3,29.69911764705882,1,1,15.2458,False,0,1,1,0,0,0,1,0,0,0,1,0,0
1,2,29.0,0,0,10.5,True,1,0,0,0,1,0,0,1,0,1,0,0,0
0,3,19.0,0,0,8.1583,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,3,17.0,4,2,7.925,False,1,0,0,0,1,0,0,1,0,1,0,0,0
0,3,26.0,2,0,8.6625,False,0,1,0,0,1,0,1,0,0,1,0,0,0
0,2,32.0,0,0,10.5,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,16.0,5,2,46.9,False,1,0,0,0,1,0,0,1,0,0,0,0,1
0,2,21.0,0,0,73.5,True,0,1,0,0,1,0,1,0,0,0,0,0,1
0,3,26.0,1,0,14.4542,False,0,1,1,0,0,0,1,0,0,0,1,0,0
1,3,32.0,0,0,56.4958,True,0,1,0,0,1,0,1,0,0,0,0,0,1
0,3,25.0,0,0,7.65,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,29.69911764705882,0,0,7.8958,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,29.69911764705882,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,2,0.83,0,2,29.0,False,0,1,0,0,1,1,0,0,0,0,0,1,0
1,3,30.0,0,0,12.475,True,1,0,0,0,1,0,0,1,0,0,1,0,0
0,3,22.0,0,0,9.0,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,3,29.0,0,0,9.5,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,3,29.69911764705882,0,0,7.7875,True,1,0,0,1,0,0,0,1,1,0,0,0,0
0,1,28.0,0,0,47.1,True,0,1,0,0,1,0,1,0,0,0,0,0,1
1,2,17.0,0,0,10.5,True,1,0,0,0,1,0,0,1,0,1,0,0,0
1,3,33.0,3,0,15.85,False,1,0,0,0,1,0,0,1,0,0,1,0,0
0,3,16.0,1,3,34.375,False,0,1,0,0,1,0,1,0,0,0,0,1,0
0,3,29.69911764705882,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,1,23.0,3,2,263.0,False,1,0,0,0,1,0,0,1,0,0,0,0,1
0,3,24.0,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,29.0,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,20.0,0,0,7.8542,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,1,46.0,1,0,61.175,False,0,1,0,0,1,0,1,0,0,0,0,0,1
0,3,26.0,1,2,20.575,False,0,1,0,0,1,0,1,0,0,0,1,0,0
0,3,59.0,0,0,7.25,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,29.69911764705882,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,71.0,0,0,34.6542,True,0,1,1,0,0,0,1,0,0,0,0,1,0
1,1,23.0,0,1,63.3583,False,0,1,1,0,0,0,1,0,0,0,0,0,1
1,2,34.0,0,1,23.0,False,1,0,0,0,1,0,0,1,0,0,0,1,0
0,2,34.0,1,0,26.0,False,0,1,0,0,1,0,1,0,0,0,0,1,0
0,3,28.0,0,0,7.8958,True,1,0,0,0,1,0,0,1,0,1,0,0,0
0,3,29.69911764705882,0,0,7.8958,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,21.0,0,1,77.2875,False,0,1,0,0,1,0,1,0,0,0,0,0,1
0,3,33.0,0,0,8.6542,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,37.0,2,0,7.925,False,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,28.0,0,0,7.8958,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,3,21.0,0,0,7.65,True,1,0,0,0,1,0,0,1,1,0,0,0,0
1,3,29.69911764705882,0,0,7.775,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,38.0,0,0,7.8958,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,3,29.69911764705882,1,0,24.15,False,1,0,0,1,0,0,0,1,0,0,0,1,0
0,1,47.0,0,0,52.0,True,0,1,0,0,1,0,1,0,0,0,0,0,1
0,3,14.5,1,0,14.4542,False,1,0,1,0,0,1,0,0,0,0,1,0,0
0,3,22.0,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,20.0,1,0,9.825,False,1,0,0,0,1,0,0,1,0,1,0,0,0
0,3,17.0,0,0,14.4583,True,1,0,1,0,0,0,0,1,0,0,1,0,0
0,3,21.0,0,0,7.925,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,70.5,0,0,7.75,True,0,1,0,1,0,0,1,0,1,0,0,0,0
0,2,29.0,1,0,21.0,False,0,1,0,0,1,0,1,0,0,0,1,0,0
0,1,24.0,0,1,247.5208,False,0,1,1,0,0,0,1,0,0,0,0,0,1
0,3,2.0,4,2,31.275,False,1,0,0,0,1,1,0,0,0,0,0,1,0
0,2,21.0,2,0,73.5,False,0,1,0,0,1,0,1,0,0,0,0,0,1
0,3,29.69911764705882,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,2,32.5,1,0,30.0708,False,0,1,1,0,0,0,1,0,0,0,0,1,0
1,2,32.5,0,0,13.0,True,1,0,0,0,1,0,0,1,0,0,1,0,0
0,1,54.0,0,1,77.2875,False,0,1,0,0,1,0,1,0,0,0,0,0,1
1,3,12.0,1,0,11.2417,False,0,1,1,0,0,1,0,0,0,0,1,0,0
0,3,29.69911764705882,0,0,7.75,True,0,1,0,1,0,0,1,0,1,0,0,0,0
1,3,24.0,0,0,7.1417,True,0,1,0,0,1,0,1,0,1,0,0,0,0
1,3,29.69911764705882,1,1,22.3583,False,1,0,1,0,0,0,0,1,0,0,0,1,0
0,3,45.0,0,0,6.975,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,33.0,0,0,7.8958,True,0,1,1,0,0,0,1,0,0,1,0,0,0
0,3,20.0,0,0,7.05,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,47.0,1,0,14.5,False,1,0,0,0,1,0,0,1,0,0,1,0,0
1,2,29.0,1,0,26.0,False,1,0,0,0,1,0,0,1,0,0,0,1,0
0,2,25.0,0,0,13.0,True,0,1,0,0,1,0,1,0,0,0,1,0,0
0,2,23.0,0,0,15.0458,True,0,1,1,0,0,0,1,0,0,0,1,0,0
1,1,19.0,0,2,26.2833,False,1,0,0,0,1,0,0,1,0,0,0,1,0
0,1,37.0,1,0,53.1,False,0,1,0,0,1,0,1,0,0,0,0,0,1
0,3,16.0,0,0,9.2167,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,24.0,0,0,79.2,True,0,1,1,0,0,0,1,0,0,0,0,0,1
0,3,29.69911764705882,0,2,15.2458,False,1,0,1,0,0,0,0,1,0,0,1,0,0
1,3,22.0,0,0,7.75,True,1,0,0,0,1,0,0,1,1,0,0,0,0
1,3,24.0,1,0,15.85,False,1,0,0,0,1,0,0,1,0,0,1,0,0
0,3,19.0,0,0,6.75,True,0,1,0,1,0,0,1,0,1,0,0,0,0
0,2,18.0,0,0,11.5,True,0,1,0,0,1,0,1,0,0,0,1,0,0
0,2,19.0,1,1,36.75,False,0,1,0,0,1,0,1,0,0,0,0,1,0
1,3,27.0,0,0,7.7958,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,9.0,2,2,34.375,False,1,0,0,0,1,1,0,0,0,0,0,1,0
0,2,36.5,0,2,26.0,False,0,1,0,0,1,0,1,0,0,0,0,1,0
0,2,42.0,0,0,13.0,True,0,1,0,0,1,0,1,0,0,0,1,0,0
0,2,51.0,0,0,12.525,True,0,1,0,0,1,0,1,0,0,0,1,0,0
1,1,22.0,1,0,66.6,False,1,0,0,0,1,0,0,1,0,0,0,0,1
0,3,55.5,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,40.5,0,2,14.5,False,0,1,0,0,1,0,1,0,0,0,1,0,0
0,3,29.69911764705882,0,0,7.3125,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,1,51.0,0,1,61.3792,False,0,1,1,0,0,0,1,0,0,0,0,0,1
1,3,16.0,0,0,7.7333,True,1,0,0,1,0,0,0,1,1,0,0,0,0
0,3,30.0,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,29.69911764705882,0,0,8.6625,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,29.69911764705882,8,2,69.55,False,0,1,0,0,1,0,1,0,0,0,0,0,1
0,3,44.0,0,1,16.1,False,0,1,0,0,1,0,1,0,0,0,1,0,0
1,2,40.0,0,0,15.75,True,1,0,0,0,1,0,0,1,0,0,1,0,0
0,3,26.0,0,0,7.775,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,17.0,0,0,8.6625,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,1.0,4,1,39.6875,False,0,1,0,0,1,1,0,0,0,0,0,1,0
1,3,9.0,0,2,20.525,False,0,1,0,0,1,1,0,0,0,0,1,0,0
1,1,29.69911764705882,0,1,55.0,False,1,0,0,0,1,0,0,1,0,0,0,0,1
0,3,45.0,1,4,27.9,False,1,0,0,0,1,0,0,1,0,0,0,1,0
0,1,29.69911764705882,0,0,25.925,True,0,1,0,0,1,0,1,0,0,0,0,1,0
0,3,28.0,0,0,56.4958,True,0,1,0,0,1,0,1,0,0,0,0,0,1
0,1,61.0,0,0,33.5,True,0,1,0,0,1,0,1,0,0,0,0,1,0
0,3,4.0,4,1,29.125,False,0,1,0,1,0,1,0,0,0,0,0,1,0
1,3,1.0,1,1,11.1333,False,1,0,0,0,1,1,0,0,0,0,1,0,0
0,3,21.0,0,0,7.925,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,56.0,0,0,30.6958,True,0,1,1,0,0,0,1,0,0,0,0,1,0
0,3,18.0,1,1,7.8542,False,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,29.69911764705882,3,1,25.4667,False,0,1,0,0,1,0,1,0,0,0,0,1,0
0,1,50.0,0,0,28.7125,True,1,0,1,0,0,0,0,1,0,0,0,1,0
0,2,30.0,0,0,13.0,True,0,1,0,0,1,0,1,0,0,0,1,0,0
0,3,36.0,0,0,0.0,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,29.69911764705882,8,2,69.55,False,1,0,0,0,1,0,0,1,0,0,0,0,1
0,2,29.69911764705882,0,0,15.05,True,0,1,1,0,0,0,1,0,0,0,1,0,0
0,3,9.0,4,2,31.3875,False,0,1,0,0,1,1,0,0,0,0,0,1,0
1,2,1.0,2,1,39.0,False,0,1,0,0,1,1,0,0,0,0,0,1,0
1,3,4.0,0,2,22.025,False,1,0,0,0,1,1,0,0,0,0,0,1,0
0,1,29.69911764705882,0,0,50.0,True,0,1,0,0,1,0,1,0,0,0,0,0,1
1,3,29.69911764705882,1,0,15.5,False,1,0,0,1,0,0,0,1,0,0,1,0,0
1,1,45.0,0,0,26.55,True,0,1,0,0,1,0,1,0,0,0,0,1,0
0,3,40.0,1,1,15.5,False,0,1,0,1,0,0,1,0,0,0,1,0,0
0,3,36.0,0,0,7.8958,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,2,32.0,0,0,13.0,True,1,0,0,0,1,0,0,1,0,0,1,0,0
0,2,19.0,0,0,13.0,True,0,1,0,0,1,0,1,0,0,0,1,0,0
1,3,19.0,1,0,7.8542,False,1,0,0,0,1,0,0,1,1,0,0,0,0
1,2,3.0,1,1,26.0,False,0,1,0,0,1,1,0,0,0,0,0,1,0
1,1,44.0,0,0,27.7208,True,1,0,1,0,0,0,0,1,0,0,0,1,0
1,1,58.0,0,0,146.5208,True,1,0,1,0,0,0,0,1,0,0,0,0,1
0,3,29.69911764705882,0,0,7.75,True,0,1,0,1,0,0,1,0,1,0,0,0,0
0,3,42.0,0,1,8.4042,False,0,1,0,0,1,0,1,0,0,1,0,0,0
1,3,29.69911764705882,0,0,7.75,True,1,0,0,1,0,0,0,1,1,0,0,0,0
0,2,24.0,0,0,13.0,True,1,0,0,0,1,0,0,1,0,0,1,0,0
0,3,28.0,0,0,9.5,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,29.69911764705882,8,2,69.55,False,0,1,0,0,1,0,1,0,0,0,0,0,1
0,3,34.0,0,0,6.4958,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,45.5,0,0,7.225,True,0,1,1,0,0,0,1,0,1,0,0,0,0
1,3,18.0,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,2.0,0,1,10.4625,False,1,0,0,0,1,1,0,0,0,1,0,0,0
0,3,32.0,1,0,15.85,False,0,1,0,0,1,0,1,0,0,0,1,0,0
1,3,26.0,0,0,18.7875,True,0,1,1,0,0,0,1,0,0,0,1,0,0
1,3,16.0,0,0,7.75,True,1,0,0,1,0,0,0,1,1,0,0,0,0
1,1,40.0,0,0,31.0,True,0,1,1,0,0,0,1,0,0,0,0,1,0
0,3,24.0,0,0,7.05,True,0,1,0,0,1,0,1,0,1,0,0,0,0
1,2,35.0,0,0,21.0,True,1,0,0,0,1,0,0,1,0,0,1,0,0
0,3,22.0,0,0,7.25,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,2,30.0,0,0,13.0,True,0,1,0,0,1,0,1,0,0,0,1,0,0
0,3,29.69911764705882,1,0,7.75,False,0,1,0,1,0,0,1,0,1,0,0,0,0
1,1,31.0,1,0,113.275,False,1,0,1,0,0,0,0,1,0,0,0,0,1
1,3,27.0,0,0,7.925,True,1,0,0,0,1,0,0,1,0,1,0,0,0
0,2,42.0,1,0,27.0,False,0,1,0,0,1,0,1,0,0,0,0,1,0
