survived,pclass,age,sibsp,parch,fare,alone,sex_female,sex_male,embark_town_Cherbourg,embark_town_Queenstown,embark_town_Southampton,who_child,who_man,who_woman,"fare_group_(-0.001, 7.854]","fare_group_(7.854, 10.5]","fare_group_(10.5, 21.679]","fare_group_(21.679, 39.688]","fare_group_(39.688, 512.329]"
1,1,32.0,0,0,76.2917,True,1,0,1,0,0,0,0,1,0,0,0,0,1
0,2,30.0,0,0,10.5,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,3,16.0,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,2,27.0,0,0,13.0,True,0,1,0,0,1,0,1,0,0,0,1,0,0
0,3,51.0,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,29.69911764705882,0,0,7.8958,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,1,38.0,1,0,90.0,False,0,1,0,0,1,0,1,0,0,0,0,0,1
0,3,22.0,0,0,9.35,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,2,19.0,0,0,10.5,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,20.5,0,0,7.25,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,2,18.0,0,0,13.0,True,0,1,0,0,1,0,1,0,0,0,1,0,0
0,3,29.69911764705882,3,1,25.4667,False,1,0,0,0,1,0,0,1,0,0,0,1,0
1,1,35.0,1,0,83.475,False,1,0,0,0,1,0,0,1,0,0,0,0,1
0,3,29.0,0,0,7.775,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,2,59.0,0,0,13.5,True,0,1,0,0,1,0,1,0,0,0,1,0,0
1,3,5.0,4,2,31.3875,False,1,0,0,0,1,1,0,0,0,0,0,1,0
0,2,24.0,0,0,10.5,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,29.69911764705882,0,0,7.55,True,1,0,0,0,1,0,0,1,1,0,0,0,0
0,2,44.0,1,0,26.0,False,0,1,0,0,1,0,1,0,0,0,0,1,0
1,2,8.0,0,2,26.25,False,1,0,0,0,1,1,0,0,0,0,0,1,0
0,2,19.0,0,0,10.5,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,2,33.0,0,0,12.275,True,0,1,0,0,1,0,1,0,0,0,1,0,0
0,3,29.69911764705882,1,0,14.4542,False,1,0,1,0,0,0,0,1,0,0,1,0,0
1,3,29.69911764705882,1,0,15.5,False,1,0,0,1,0,0,0,1,0,0,1,0,0
0,2,29.0,0,0,10.5,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,22.0,0,0,7.125,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,30.0,0,0,7.225,True,0,1,1,0,0,0,1,0,1,0,0,0,0
0,1,44.0,2,0,90.0,False,0,1,0,1,0,0,1,0,0,0,0,0,1
0,3,25.0,0,0,7.775,True,1,0,0,0,1,0,0,1,1,0,0,0,0
1,2,24.0,0,2,14.5,False,1,0,0,0,1,0,0,1,0,0,1,0,0
1,1,37.0,1,1,52.5542,False,0,1,0,0,1,0,1,0,0,0,0,0,1
0,2,54.0,1,0,26.0,False,0,1,0,0,1,0,1,0,0,0,0,1,0
0,3,29.69911764705882,0,0,7.25,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,29.0,1,1,10.4625,False,1,0,0,0,1,0,0,1,0,1,0,0,0
0,1,62.0,0,0,26.55,True,0,1,0,0,1,0,1,0,0,0,0,1,0
0,3,30.0,1,0,16.1,False,0,1,0,0,1,0,1,0,0,0,1,0,0
0,3,41.0,0,2,20.2125,False,1,0,0,0,1,0,0,1,0,0,1,0,0
1,3,29.0,0,2,15.2458,False,1,0,1,0,0,0,0,1,0,0,1,0,0
1,1,29.69911764705882,0,0,79.2,True,1,0,1,0,0,0,0,1,0,0,0,0,1
1,1,30.0,0,0,86.5,True,1,0,0,0,1,0,0,1,0,0,0,0,1
1,1,35.0,0,0,512.3292,True,1,0,1,0,0,0,0,1,0,0,0,0,1
1,2,50.0,0,1,26.0,False,1,0,0,0,1,0,0,1,0,0,0,1,0
0,3,29.69911764705882,0,0,7.75,True,0,1,0,1,0,0,1,0,1,0,0,0,0
1,3,3.0,4,2,31.3875,False,0,1,0,0,1,1,0,0,0,0,0,1,0
0,1,52.0,1,1,79.65,False,0,1,0,0,1,0,1,0,0,0,0,0,1
0,1,40.0,0,0,0.0,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,29.69911764705882,0,0,7.75,True,1,0,0,1,0,0,0,1,1,0,0,0,0
0,2,36.0,0,0,10.5,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,16.0,4,1,39.6875,False,0,1,0,0,1,0,1,0,0,0,0,1,0
1,3,25.0,1,0,7.775,False,0,1,0,0,1,0,1,0,1,0,0,0,0
1,1,58.0,0,1,153.4625,False,1,0,0,0,1,0,0,1,0,0,0,0,1
1,1,35.0,0,0,135.6333,True,1,0,0,0,1,0,0,1,0,0,0,0,1
0,1,29.69911764705882,0,0,31.0,True,0,1,0,0,1,0,1,0,0,0,0,1,0
1,3,25.0,0,0,0.0,True,0,1,0,0,1,0,1,0,1,0,0,0,0
1,2,41.0,0,1,19.5,False,1,0,0,0,1,0,0,1,0,0,1,0,0
0,1,37.0,0,1,29.7,False,0,1,1,0,0,0,1,0,0,0,0,1,0
1,3,29.69911764705882,0,0,7.75,True,1,0,0,1,0,0,0,1,1,0,0,0,0
1,1,63.0,1,0,77.9583,False,1,0,0,0,1,0,0,1,0,0,0,0,1
0,3,45.0,0,0,7.75,True,1,0,0,0,1,0,0,1,1,0,0,0,0
0,2,29.69911764705882,0,0,0.0,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,7.0,4,1,29.125,False,0,1,0,1,0,1,0,0,0,0,0,1,0
1,3,35.0,1,1,20.25,False,1,0,0,0,1,0,0,1,0,0,1,0,0
0,3,65.0,0,0,7.75,True,0,1,0,1,0,0,1,0,1,0,0,0,0
0,3,28.0,0,0,7.8542,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,16.0,0,0,9.5,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,3,19.0,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,29.69911764705882,0,0,26.0,True,0,1,0,0,1,0,1,0,0,0,0,1,0
0,3,33.0,0,0,8.6625,True,0,1,1,0,0,0,1,0,0,1,0,0,0
1,3,30.0,0,0,9.5,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,22.0,0,0,7.8958,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,2,42.0,0,0,13.0,True,0,1,0,0,1,0,1,0,0,0,1,0,0
1,3,22.0,0,0,7.75,True,1,0,0,1,0,0,0,1,1,0,0,0,0
1,1,26.0,0,0,78.85,True,1,0,0,0,1,0,0,1,0,0,0,0,1
1,1,19.0,1,0,91.0792,False,1,0,1,0,0,0,0,1,0,0,0,0,1
0,2,36.0,0,0,12.875,True,0,1,1,0,0,0,1,0,0,0,1,0,0
0,3,24.0,0,0,8.85,True,1,0,0,0,1,0,0,1,0,1,0,0,0
0,3,24.0,0,0,7.8958,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,29.69911764705882,0,0,27.7208,True,0,1,1,0,0,0,1,0,0,0,0,1,0
0,3,23.5,0,0,7.2292,True,0,1,1,0,0,0,1,0,1,0,0,0,0
0,1,2.0,1,2,151.55,False,1,0,0,0,1,1,0,0,0,0,0,0,1
1,1,29.69911764705882,0,0,30.5,True,0,1,0,0,1,0,1,0,0,0,0,1,0
1,1,50.0,0,1,247.5208,False,1,0,1,0,0,0,0,1,0,0,0,0,1
1,3,29.69911764705882,0,0,7.75,True,1,0,0,1,0,0,0,1,1,0,0,0,0
1,3,29.69911764705882,2,0,23.25,False,0,1,0,1,0,0,1,0,0,0,0,1,0
0,3,19.0,0,0,0.0,True,0,1,0,0,1,0,1,0,1,0,0,0,0
1,2,29.69911764705882,0,0,12.35,True,1,0,0,1,0,0,0,1,0,0,1,0,0
0,3,29.69911764705882,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,1,0.92,1,2,151.55,False,0,1,0,0,1,1,0,0,0,0,0,0,1
1,1,29.69911764705882,0,0,110.8833,True,1,0,1,0,0,0,0,1,0,0,0,0,1
1,1,17.0,1,0,108.9,False,1,0,1,0,0,0,0,1,0,0,0,0,1
0,2,30.0,1,0,24.0,False,0,1,1,0,0,0,1,0,0,0,0,1,0
1,1,30.0,0,0,56.9292,True,1,0,1,0,0,0,0,1,0,0,0,0,1
1,1,24.0,0,0,83.1583,True,1,0,1,0,0,0,0,1,0,0,0,0,1
1,1,18.0,2,2,262.375,False,1,0,1,0,0,0,0,1,0,0,0,0,1
0,2,26.0,1,1,26.0,False,1,0,0,0,1,0,0,1,0,0,0,1,0
0,3,28.0,0,0,7.8958,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,2,43.0,1,1,26.25,False,0,1,0,0,1,0,1,0,0,0,0,1,0
1,3,26.0,0,0,7.8542,True,1,0,0,0,1,0,0,1,1,0,0,0,0
1,2,24.0,1,0,26.0,False,1,0,0,0,1,0,0,1,0,0,0,1,0
0,2,54.0,0,0,14.0,True,0,1,0,0,1,0,1,0,0,0,1,0,0
1,1,31.0,0,2,164.8667,False,1,0,0,0,1,0,0,1,0,0,0,0,1
1,1,40.0,1,1,134.5,False,1,0,1,0,0,0,0,1,0,0,0,0,1
0,3,22.0,0,0,7.25,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,27.0,0,0,7.8958,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,2,30.0,0,0,12.35,True,1,0,0,1,0,0,0,1,0,0,1,0,0
1,2,22.0,1,1,29.0,False,1,0,0,0,1,0,0,1,0,0,0,1,0
0,3,29.69911764705882,8,2,69.55,False,0,1,0,0,1,0,1,0,0,0,0,0,1
1,1,36.0,0,0,135.6333,True,1,0,1,0,0,0,0,1,0,0,0,0,1
0,3,61.0,0,0,6.2375,True,0,1,0,0,1,0,1,0,1,0,0,0,0
1,2,36.0,0,0,13.0,True,1,0,0,0,1,0,0,1,0,0,1,0,0
1,3,31.0,1,1,20.525,False,1,0,0,0,1,0,0,1,0,0,1,0,0
1,1,16.0,0,1,57.9792,False,1,0,1,0,0,0,0,1,0,0,0,0,1
1,3,29.69911764705882,2,0,23.25,False,1,0,0,1,0,0,0,1,0,0,0,1,0
0,1,45.5,0,0,28.5,True,0,1,0,0,1,0,1,0,0,0,0,1,0
0,1,38.0,0,1,153.4625,False,0,1,0,0,1,0,1,0,0,0,0,0,1
0,3,16.0,2,0,18.0,False,0,1,0,0,1,0,1,0,0,0,1,0,0
1,1,29.69911764705882,1,0,133.65,False,1,0,0,0,1,0,0,1,0,0,0,0,1
0,3,29.69911764705882,0,0,7.8958,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,29.0,1,0,66.6,False,0,1,0,0,1,0,1,0,0,0,0,0,1
1,1,41.0,0,0,134.5,True,1,0,1,0,0,0,0,1,0,0,0,0,1
1,3,45.0,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,45.0,0,0,35.5,True,0,1,0,0,1,0,1,0,0,0,0,1,0
1,2,2.0,1,1,26.0,False,0,1,0,0,1,1,0,0,0,0,0,1,0
1,1,24.0,3,2,263.0,False,1,0,0,0,1,0,0,1,0,0,0,0,1
0,2,28.0,0,0,13.0,True,0,1,0,0,1,0,1,0,0,0,1,0,0
0,2,25.0,0,0,13.0,True,0,1,0,0,1,0,1,0,0,0,1,0,0
0,2,36.0,0,0,13.0,True,0,1,0,0,1,0,1,0,0,0,1,0,0
1,2,24.0,0,0,13.0,True,1,0,0,0,1,0,0,1,0,0,1,0,0
1,2,40.0,0,0,13.0,True,1,0,0,0,1,0,0,1,0,0,1,0,0
1,3,29.69911764705882,1,0,16.1,False,1,0,0,0,1,0,0,1,0,0,1,0,0
1,3,3.0,1,1,15.9,False,0,1,0,0,1,1,0,0,0,0,1,0,0
0,3,42.0,0,0,8.6625,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,23.0,0,0,9.225,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,29.69911764705882,0,0,35.0,True,0,1,0,0,1,0,1,0,0,0,0,1,0
0,3,15.0,1,1,7.2292,False,0,1,1,0,0,1,0,0,1,0,0,0,0
0,3,25.0,1,0,17.8,False,0,1,0,0,1,0,1,0,0,0,1,0,0
0,3,29.69911764705882,0,0,7.225,True,0,1,1,0,0,0,1,0,1,0,0,0,0
0,3,28.0,0,0,9.5,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,1,22.0,0,1,55.0,False,1,0,0,0,1,0,0,1,0,0,0,0,1
0,2,38.0,0,0,13.0,True,1,0,0,0,1,0,0,1,0,0,1,0,0
1,3,29.69911764705882,0,0,7.8792,True,1,0,0,1,0,0,0,1,0,1,0,0,0
1,3,29.69911764705882,0,0,7.8792,True,1,0,0,1,0,0,0,1,0,1,0,0,0
0,3,40.0,1,4,27.9,False,0,1,0,0,1,0,1,0,0,0,0,1,0
0,2,29.0,1,0,27.7208,False,0,1,1,0,0,0,1,0,0,0,0,1,0
0,3,45.0,0,1,14.4542,False,1,0,1,0,0,0,0,1,0,0,1,0,0
0,3,35.0,0,0,7.05,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,29.69911764705882,1,0,15.5,False,0,1,0,1,0,0,1,0,0,0,1,0,0
0,3,30.0,0,0,7.25,True,0,1,0,0,1,0,1,0,1,0,0,0,0
1,1,60.0,1,0,75.25,False,1,0,1,0,0,0,0,1,0,0,0,0,1
1,3,29.69911764705882,0,0,7.2292,True,1,0,1,0,0,0,0,1,1,0,0,0,0
1,3,29.69911764705882,0,0,7.75,True,1,0,0,1,0,0,0,1,1,0,0,0,0
1,1,24.0,0,0,69.3,True,1,0,1,0,0,0,0,1,0,0,0,0,1
1,1,25.0,1,0,55.4417,False,0,1,1,0,0,0,1,0,0,0,0,0,1
0,3,18.0,1,0,6.4958,False,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,19.0,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,22.0,0,0,135.6333,True,0,1,1,0,0,0,1,0,0,0,0,0,1
0,3,3.0,3,1,21.075,False,1,0,0,0,1,1,0,0,0,0,1,0,0
1,1,29.69911764705882,1,0,82.1708,False,1,0,1,0,0,0,0,1,0,0,0,0,1
1,3,22.0,0,0,7.25,True,1,0,0,0,1,0,0,1,1,0,0,0,0
0,1,27.0,0,2,211.5,False,0,1,1,0,0,0,1,0,0,0,0,0,1
0,3,20.0,0,0,4.0125,True,0,1,1,0,0,0,1,0,1,0,0,0,0
0,3,19.0,0,0,7.775,True,0,1,0,0,1,0,1,0,1,0,0,0,0
1,1,42.0,0,0,227.525,True,1,0,1,0,0,0,0,1,0,0,0,0,1
1,3,1.0,0,2,15.7417,False,1,0,1,0,0,1,0,0,0,0,1,0,0
0,3,32.0,0,0,7.925,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,1,35.0,1,0,52.0,False,1,0,0,0,1,0,0,1,0,0,0,0,1
0,3,29.69911764705882,0,0,7.8958,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,2,18.0,0,0,73.5,True,0,1,0,0,1,0,1,0,0,0,0,0,1
0,3,1.0,5,2,46.9,False,0,1,0,0,1,1,0,0,0,0,0,0,1
1,2,36.0,0,0,13.0,True,1,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29.69911764705882,0,0,7.7292,True,0,1,0,1,0,0,1,0,1,0,0,0,0
1,2,17.0,0,0,12.0,True,1,0,1,0,0,0,0,1,0,0,1,0,0
1,1,36.0,1,2,120.0,False,0,1,0,0,1,0,1,0,0,0,0,0,1
1,3,21.0,0,0,7.7958,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,28.0,2,0,7.925,False,0,1,0,0,1,0,1,0,0,1,0,0,0
1,1,23.0,1,0,113.275,False,1,0,1,0,0,0,0,1,0,0,0,0,1
1,3,24.0,0,2,16.7,False,1,0,0,0,1,0,0,1,0,0,1,0,0
0,3,22.0,0,0,7.7958,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,31.0,0,0,7.8542,True,1,0,0,0,1,0,0,1,1,0,0,0,0
0,2,46.0,0,0,26.0,True,0,1,0,0,1,0,1,0,0,0,0,1,0
0,2,23.0,0,0,10.5,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,2,28.0,0,0,12.65,True,1,0,0,0,1,0,0,1,0,0,1,0,0
1,3,39.0,0,0,7.925,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,26.0,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,21.0,1,0,9.825,False,1,0,0,0,1,0,0,1,0,1,0,0,0
0,3,28.0,1,0,15.85,False,0,1,0,0,1,0,1,0,0,0,1,0,0
0,3,20.0,0,0,8.6625,True,1,0,0,0,1,0,0,1,0,1,0,0,0
0,2,34.0,1,0,21.0,False,0,1,0,0,1,0,1,0,0,0,1,0,0
0,3,51.0,0,0,7.75,True,0,1,0,0,1,0,1,0,1,0,0,0,0
1,2,3.0,1,1,18.75,False,0,1,0,0,1,1,0,0,0,0,1,0,0
0,3,21.0,0,0,7.775,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,29.69911764705882,3,1,25.4667,False,1,0,0,0,1,0,0,1,0,0,0,1,0
0,3,29.69911764705882,0,0,7.8958,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,29.69911764705882,0,0,6.8583,True,0,1,0,1,0,0,1,0,1,0,0,0,0
1,1,33.0,1,0,90.0,False,1,0,0,1,0,0,0,1,0,0,0,0,1
0,2,29.69911764705882,0,0,0.0,True,0,1,0,0,1,0,1,0,1,0,0,0,0
1,3,44.0,0,0,7.925,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,29.69911764705882,0,0,8.05,True,1,0,0,0,1,0,0,1,0,1,0,0,0
1,2,34.0,1,1,32.5,False,1,0,0,0,1,0,0,1,0,0,0,1,0
1,2,18.0,0,2,13.0,False,1,0,0,0,1,0,0,1,0,0,1,0,0
0,2,30.0,0,0,13.0,True,0,1,0,0,1,0,1,0,0,0,1,0,0
0,3,10.0,0,2,24.15,False,1,0,0,0,1,1,0,0,0,0,0,1,0
0,3,29.69911764705882,0,0,7.8958,True,0,1,1,0,0,0,1,0,0,1,0,0,0
0,3,21.0,0,0,7.7333,True,0,1,0,1,0,0,1,0,1,0,0,0,0
0,3,29.0,0,0,7.875,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,28.0,1,1,14.4,False,1,0,0,0,1,0,0,1,0,0,1,0,0
0,3,18.0,1,1,20.2125,False,0,1,0,0,1,0,1,0,0,0,1,0,0
0,3,29.69911764705882,0,0,7.25,True,0,1,0,0,1,0,1,0,1,0,0,0,0
1,2,28.0,1,0,26.0,False,1,0,0,0,1,0,0,1,0,0,0,1,0
1,2,19.0,0,0,26.0,True,1,0,0,0,1,0,0,1,0,0,0,1,0
0,3,29.69911764705882,0,0,7.75,True,0,1,0,1,0,0,1,0,1,0,0,0,0
1,3,32.0,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,1,28.0,0,0,26.55,True,0,1,0,0,1,0,1,0,0,0,0,1,0
1,3,29.69911764705882,1,0,16.1,False,1,0,0,0,1,0,0,1,0,0,1,0,0
1,2,42.0,1,0,26.0,False,1,0,0,0,1,0,0,1,0,0,0,1,0
0,3,17.0,0,0,7.125,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,1,50.0,1,0,55.9,False,0,1,0,0,1,0,1,0,0,0,0,0,1
1,1,14.0,1,2,120.0,False,1,0,0,0,1,1,0,0,0,0,0,0,1
0,3,21.0,2,2,34.375,False,1,0,0,0,1,0,0,1,0,0,0,1,0
1,2,24.0,2,3,18.75,False,1,0,0,0,1,0,0,1,0,0,1,0,0
0,1,64.0,1,4,263.0,False,0,1,0,0,1,0,1,0,0,0,0,0,1
0,2,31.0,0,0,10.5,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,2,45.0,1,1,26.25,False,1,0,0,0,1,0,0,1,0,0,0,1,0
0,3,20.0,0,0,9.5,True,0,1,0,0,1,0,1,0,0,1,0,0,0
